"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"Glyma.11G124400",91.7733353508636,8.76457571469459,1.73257664516941,5.05869436664236,4.22136829280287e-07,0.000132572028572963,"FDR < 0.005"
"Glyma.05G236500",35.6398475285192,7.97154835440398,0.701647111793597,11.3611931417014,6.52473592745049e-30,6.07681280603102e-26,"FDR < 0.005"
"Glyma.12G048800",122.307082106522,7.45458693672721,1.35375311981159,5.50660739216963,3.65814840360549e-08,2.03403971086446e-05,"FDR < 0.005"
"Glyma.13G342600",36.5653772939845,7.40510152072364,0.833068303701951,8.88894882666546,6.16897306089652e-19,2.55354358234043e-15,"FDR < 0.005"
"Glyma.15G217200",17.3001428198405,7.18517568239452,0.759087509573157,9.46554328951457,2.92038924208804e-21,1.55423115463926e-17,"FDR < 0.005"
"Glyma.09G074000",64.4666199592463,6.93661123891757,1.47390022316028,4.70629634891049,2.52257739047516e-06,0.000478278845682026,"FDR < 0.005"
"Glyma.14G136300",290.822237450684,-6.82202788550759,0.299355277071874,-22.7890684013886,5.88541786073348e-115,2.19255356983765e-110,"FDR < 0.005"
"Glyma.08G003100",330.458384134647,6.08272401829709,0.86546792569486,7.02824892489626,2.09141542955735e-12,4.86959940079559e-09,"FDR < 0.005"
"Glyma.07G117100",5.29578023987786,-5.47096333442742,0.998026738815432,-5.48178031875275,4.21066888362437e-08,2.2022284654662e-05,"FDR < 0.005"
"Glyma.06G200600",4.17795911120037,-5.46163811384264,1.00587375115073,-5.42974514206625,5.64345849877243e-08,2.76633424885879e-05,"FDR < 0.005"
"Glyma.03G116400",3.79920341149284,5.39273197066997,0.923355468621828,5.84036392692729,5.20869138084238e-09,4.41010428867959e-06,"FDR < 0.005"
"Glyma.18G082500",17.2995989046768,5.35332315558737,1.30648786044476,4.09749169331353,4.17651150438512e-05,0.00396917754041743,"FDR < 0.005"
"Glyma.19G251200",11.2915956938597,5.13026973345052,0.783355906640261,6.54909178569133,5.78880463989831e-11,8.98567200228216e-08,"FDR < 0.005"
"Glyma.06G240700",37.6468483375671,4.96490076988797,1.04226855088073,4.76355231642799,1.9021426493833e-06,0.000395879453967181,"FDR < 0.005"
"Glyma.12G155800",33.5495757831911,4.83649464665744,0.942936801949483,5.12918218554858,2.91003610778468e-07,0.000100380078851306,"FDR < 0.005"
"Glyma.05G216200",15.3125652706464,-4.82979322286841,0.732250919327586,-6.59581721973599,4.2291970818902e-11,7.16156854948806e-08,"FDR < 0.005"
"Glyma.11G196100",32.8368680663511,4.71137803468615,1.0703260174012,4.40181585618705,1.07348648934947e-05,0.00149217131834651,"FDR < 0.005"
"Glyma.05G130600",57.2258488351851,4.64666314788993,0.995021208291834,4.66991367537474,3.0132633147802e-06,0.00054230005569479,"FDR < 0.005"
"Glyma.03G167400",63.3610386710655,4.58748993929905,0.798359788020858,5.746143540961,9.13018080065188e-09,6.94154603158133e-06,"FDR < 0.005"
"Glyma.13G226900",7.94710881103087,4.49511221189649,0.954906809585835,4.7073831360006,2.50917040620325e-06,0.000478278845682026,"FDR < 0.005"
"Glyma.11G061100",74.8330183351472,4.39802675255787,0.545555972072818,8.0615500108041,7.53330622031716e-16,2.33871491609746e-12,"FDR < 0.005"
"Glyma.13G223800",194.357746688986,4.37233327430734,0.780369720416452,5.6028997024308,2.1079521294829e-08,1.37771313389045e-05,"FDR < 0.005"
"Glyma.20G156000",18.2274926153992,4.16877014613783,0.868774861542547,4.79844702082655,1.5990059005867e-06,0.000356702789344054,"FDR < 0.005"
"Glyma.15G240300",105.423550843183,-4.08463125873008,0.381407986594218,-10.7093490495671,9.20064632633703e-27,6.85521756482719e-23,"FDR < 0.005"
"Glyma.12G240300",5.06815124299894,4.07296148683729,1.00082611584232,4.06959952619679,4.70940186069729e-05,0.00433195202267696,"FDR < 0.005"
"Glyma.03G002700",112.650170089314,3.95953587403813,0.724067425480445,5.46846292858822,4.5395498321356e-08,2.31666286912849e-05,"FDR < 0.005"
"Glyma.04G100500",10.122689041402,3.87838835050766,0.791717709897641,4.89870101681708,9.64723097679645e-07,0.000251327232733968,"FDR < 0.005"
"Glyma.15G088200",45.6534632173331,3.81258029611956,0.774965380799717,4.91967820831585,8.66866109769148e-07,0.00023172524274138,"FDR < 0.005"
"Glyma.19G263100",5.21726479432439,-3.77653923112236,0.787602061163251,-4.79498393585282,1.62687867307144e-06,0.000360760345753591,"FDR < 0.005"
"Glyma.05G195500",491.55072145176,3.76358504558595,0.722186026621725,5.21137893402815,1.87442146216877e-07,6.91383140115202e-05,"FDR < 0.005"
"Glyma.15G240200",4.61417457392557,-3.72010751475224,0.783742247729189,-4.74659561294656,2.06868957910583e-06,0.000418842182500046,"FDR < 0.005"
"Glyma.12G135300",298.074903255676,3.70624035600117,0.782301130569316,4.73761344727185,2.16249801339787e-06,0.000430811235246653,"FDR < 0.005"
"Glyma.U040600",24.7708765798621,3.67997657411247,0.616145598301833,5.97257626160911,2.33535916366733e-09,2.23080693034007e-06,"FDR < 0.005"
"Glyma.11G196200",38.05430817702,3.62356672672942,0.512125797237079,7.07554031895792,1.488675689033e-12,3.96136600851682e-09,"FDR < 0.005"
"Glyma.05G249100",6.73890256045598,-3.60914205646984,0.681317206433224,-5.29730061473733,1.17527123545312e-07,4.65782495803943e-05,"FDR < 0.005"
"Glyma.18G182800",109.372783747716,-3.59003693829827,0.652933495132464,-5.49831945375989,3.83427844199895e-08,2.10062072173866e-05,"FDR < 0.005"
"Glyma.06G110800",15.5123253280301,3.56474562236926,0.788639724828016,4.5201192764499,6.18047998365668e-06,0.000955384237805584,"FDR < 0.005"
"Glyma.04G017200",14.2667397466191,3.47610130505627,0.821194377695878,4.23298234799121,2.30612611944865e-05,0.00261928117237622,"FDR < 0.005"
"Glyma.05G223400",131.528664969702,3.44510954504973,0.273061391766943,12.6166116811934,1.71022681739937e-36,2.12375966184653e-32,"FDR < 0.005"
"Glyma.14G153800",10.8075357947601,3.429375117535,0.790853444320991,4.33629662001331,1.44903374831548e-05,0.00186145873309465,"FDR < 0.005"
"Glyma.03G129100",31.7356439106948,-3.37896309061922,0.400263899555177,-8.44183823316154,3.12385487813569e-17,1.16376089630067e-13,"FDR < 0.005"
"Glyma.07G005800",92.1552352051467,3.37471456092893,0.793913787558785,4.2507317719042,2.13073217281854e-05,0.00244994741870932,"FDR < 0.005"
"Glyma.04G005700",6.1780570771364,3.31027280920217,0.799951625671641,4.13809123323283,3.50207123240456e-05,0.00356464922655737,"FDR < 0.005"
"Glyma.11G003100",22.9990821801971,3.27013168041565,0.682841089528004,4.7890083513809,1.67607506444251e-06,0.000367297061474949,"FDR < 0.005"
"Glyma.10G111600",8.55944273161239,3.25154423722188,0.535914709109154,6.06727933000175,1.30095182493191e-09,1.38473312245753e-06,"FDR < 0.005"
"Glyma.05G247100",15.3425285234735,3.2106507943887,0.677199025814369,4.74107414807296,2.12588106475534e-06,0.000428094990196731,"FDR < 0.005"
"Glyma.02G229500",57.1641979779146,3.19787142497901,0.48824091822539,6.5497816868818,5.76212561090138e-11,8.98567200228216e-08,"FDR < 0.005"
"Glyma.17G009600",16.3989569936423,3.15836511739804,0.745767613800542,4.23505266111322,2.28498151247805e-05,0.00260320187357362,"FDR < 0.005"
"Glyma.10G228900",4.39754706576327,3.15618995781678,0.728049601204842,4.33513039852454,1.45673742980159e-05,0.001861711082891,"FDR < 0.005"
"Glyma.15G187300",20.305801788126,3.13830230692073,0.551346284014701,5.69207120445025,1.25507489790251e-08,8.77047081027864e-06,"FDR < 0.005"
"Glyma.15G205500",19.9126544755548,3.02648412080264,0.472314251504151,6.4077764140387,1.4765722833159e-10,2.03734162380187e-07,"FDR < 0.005"
"Glyma.18G268200",114.564829645322,3.01988713172661,0.620318937128118,4.86828138071641,1.12572966332709e-06,0.000275907453142022,"FDR < 0.005"
"Glyma.04G035600",16.4035138463202,3.00045235451852,0.741715224601922,4.0452888858104,5.22586413105913e-05,0.00462433117193532,"FDR < 0.005"
"Glyma.07G121900",504.513966885097,2.99173807349865,0.657905719429028,4.54736596011821,5.43214947329522e-06,0.000872281450336811,"FDR < 0.005"
"Glyma.01G081900",1040.14272557662,2.95523431375609,0.60077504149452,4.91903642735307,8.6971284606927e-07,0.00023172524274138,"FDR < 0.005"
"Glyma.01G221200",94.2608347616159,2.91370119781314,0.4326121449885,6.73513499693955,1.63777803443974e-11,3.0506891447509e-08,"FDR < 0.005"
"Glyma.08G275400",66.4044424728778,2.80267720923351,0.497919371840238,5.62877720317492,1.81491644116608e-08,1.20737316248574e-05,"FDR < 0.005"
"Glyma.05G229700",21.158592137146,-2.79725546265354,0.663118274184407,-4.2183356597946,2.46112253883189e-05,0.00272067237571641,"FDR < 0.005"
"Glyma.14G093100",910.862291128994,2.77669462747818,0.671948780088455,4.13230101721839,3.59149644878021e-05,0.00363580458431679,"FDR < 0.005"
"Glyma.05G231500",20.4992994930348,2.68779531833462,0.431614452270363,6.2273061159013,4.74523409555899e-10,5.70254680632112e-07,"FDR < 0.005"
"Glyma.13G147900",45.2923616215973,2.63195228414861,0.550323582826122,4.78255405780092,1.73081819742035e-06,0.000374883146085451,"FDR < 0.005"
"Glyma.02G134000",332.950257329433,2.61447831964282,0.536221497367276,4.87574320029933,1.08399552874425e-06,0.000271027982737171,"FDR < 0.005"
"Glyma.19G150600",9.01324971063445,2.61278400364488,0.533980606221803,4.89303164422341,9.92944336992243e-07,0.000255111367795235,"FDR < 0.005"
"Glyma.08G073900",28.6869677466622,2.55313979991042,0.517687959586155,4.93181220971687,8.14702218074153e-07,0.000224750785399593,"FDR < 0.005"
"Glyma.03G040600",6.86812662391978,2.53504008714942,0.589739595585628,4.29857534770419,1.71899464186048e-05,0.00212051080754538,"FDR < 0.005"
"Glyma.18G091100",28.3523674394203,2.52258183539497,0.576608444552874,4.3748610677235,1.21509842650935e-05,0.00162248303875194,"FDR < 0.005"
"Glyma.13G196500",8.16374275280337,2.47771765800695,0.553858757785339,4.47355507731676,7.69297307925005e-06,0.00113727785354913,"FDR < 0.005"
"Glyma.08G024700",276.233063301368,2.44419598918227,0.472253456845156,5.17560211313325,2.27177138450285e-07,8.29731089786952e-05,"FDR < 0.005"
"Glyma.08G233300",234.120179287681,2.41871393793029,0.554268360023346,4.36379579348244,1.27824904831162e-05,0.0016592296183206,"FDR < 0.005"
"Glyma.03G019300",25.6423506933649,-2.3865268866037,0.588854470253638,-4.05282970098834,5.06018378650556e-05,0.00452067354394432,"FDR < 0.005"
"Glyma.12G003800",19.55871153244,-2.36915161959675,0.523548557738943,-4.52518030004406,6.03440381797164e-06,0.000936690332644648,"FDR < 0.005"
"Glyma.03G005300",61.637973885514,2.36727804934753,0.35780205046432,6.6161668058512,3.6863239790546e-11,6.53953873884286e-08,"FDR < 0.005"
"Glyma.04G032200",55.2511438752745,2.36563619884411,0.349056713889758,6.77722589112336,1.22505273600425e-11,2.40200603300538e-08,"FDR < 0.005"
"Glyma.15G176900",262.053459618584,2.33312949389568,0.330881314589587,7.05125793153236,1.77307472319488e-12,4.4036083825268e-09,"FDR < 0.005"
"Glyma.01G204700",58.2989213847361,2.33143092930847,0.518582549545222,4.49577590174032,6.9316711896105e-06,0.00104972552234858,"FDR < 0.005"
"Glyma.02G260400",32.8684838361545,2.29078716956425,0.428779557865381,5.34257552055096,9.1635173972083e-08,3.87929178540452e-05,"FDR < 0.005"
"Glyma.05G173500",29.2000979412292,2.28125019526996,0.478150970421254,4.7709830919305,1.83328930923511e-06,0.000388053181399119,"FDR < 0.005"
"Glyma.05G241300",76.9724429577561,2.28069261076602,0.475981958409919,4.79155264284591,1.65495584050234e-06,0.000364814940130617,"FDR < 0.005"
"Glyma.14G216100",95.3123755570924,2.25722257352196,0.403413592461497,5.59530619617729,2.20232737704642e-08,1.39060176448283e-05,"FDR < 0.005"
"Glyma.04G143500",19.1308928840359,2.23067337045432,0.391178306801468,5.70244651011907,1.18099977352728e-08,8.77047081027864e-06,"FDR < 0.005"
"Glyma.02G042300",40.3339752732176,2.20485537706414,0.473117894261558,4.66026629685075,3.15800543189688e-06,0.000565616992114838,"FDR < 0.005"
"Glyma.16G119900",113.337651862239,-2.19821489142891,0.395450120923298,-5.55876651724499,2.71687849405705e-08,1.65925559700986e-05,"FDR < 0.005"
"Glyma.03G104800",42.1525050473341,2.18514523800754,0.521716482501616,4.18837685083253,2.8095669982992e-05,0.00299050311298967,"FDR < 0.005"
"Glyma.11G121800",62.6550074201513,2.17744715203667,0.439814008698066,4.95083628300594,7.38952491749636e-07,0.000206984482162714,"FDR < 0.005"
"Glyma.10G158300",71.798390724573,2.15878017365491,0.235301165596219,9.17454092581682,4.53502642108055e-20,2.11184842863668e-16,"FDR < 0.005"
"Glyma.04G020400",38.7226027763647,2.12625269265079,0.452899156194177,4.69475966905792,2.66920350627589e-06,0.000499690992074382,"FDR < 0.005"
"Glyma.08G312000",42.0756241599159,-2.1161098256149,0.380316104127749,-5.56408156964105,2.6353666125829e-08,1.63629912975272e-05,"FDR < 0.005"
"Glyma.05G236000",231.416118474738,2.10844761567849,0.127403067378797,16.5494258423906,1.61636792403198e-61,3.01080853209437e-57,"FDR < 0.005"
"Glyma.17G197300",448.05826745915,2.10693162902407,0.20232018460081,10.4138478974857,2.14377437682762e-25,1.33106951057227e-21,"FDR < 0.005"
"Glyma.18G214700",66.7677368923005,2.09326605343267,0.388211462264678,5.39207688825403,6.96479523770889e-08,3.24333102232009e-05,"FDR < 0.005"
"Glyma.09G224200",28.94686477476,2.09218186751486,0.411261029970216,5.08723587952493,3.63319846020945e-07,0.000118729101260213,"FDR < 0.005"
"Glyma.04G203500",54.4686228511251,2.09061762730901,0.41440408186036,5.04487701454031,4.53813172292565e-07,0.000139721949756919,"FDR < 0.005"
"Glyma.17G015500",263.255703341533,2.09019874340949,0.508611778063005,4.10961529709319,3.96318801428189e-05,0.00387518651664193,"FDR < 0.005"
"Glyma.03G239700",11474.7545682261,-2.077548779238,0.494355839380223,-4.20253714782178,2.63939917317433e-05,0.00286113547994287,"FDR < 0.005"
"Glyma.05G211500",12.828584700617,-2.00096169661385,0.454742236029576,-4.40021079652631,1.08145771179889e-05,0.00149217131834651,"FDR < 0.005"
"Glyma.02G245700",61.9138483374811,1.99518226651379,0.426528059104372,4.67772805077185,2.90070892746304e-06,0.000529720639135823,"FDR < 0.005"
"Glyma.11G022600",39.880862748123,-1.98594164524093,0.46352258882812,-4.28445493942765,1.83187729780895e-05,0.00220144376943789,"FDR < 0.005"
"Glyma.09G238200",109.314516037501,1.96372222972416,0.389777472571421,5.03805983647332,4.70274439105007e-07,0.000142435804507463,"FDR < 0.005"
"Glyma.18G018200",76.4292203660049,1.95084327730842,0.454181373382783,4.29529564979375,1.74460676800138e-05,0.00214500265792487,"FDR < 0.005"
"Glyma.17G071300",81.8264675034761,1.94132759701167,0.434346620626415,4.4695354005791,7.83896847236624e-06,0.00114522718223346,"FDR < 0.005"
"Glyma.19G123400",22.6727530309211,-1.93351327397385,0.398647261465116,-4.85018576790861,1.23345898006293e-06,0.000298384940540678,"FDR < 0.005"
"Glyma.12G119900",52.6270238750487,1.91934074794771,0.410681398964446,4.67355169429981,2.96035149064778e-06,0.000535363759381517,"FDR < 0.005"
"Glyma.18G138400",86.1250667879476,1.9112075602365,0.463309902902705,4.12511700756339,3.70546325569105e-05,0.00374101160237166,"FDR < 0.005"
"Glyma.08G164600",338.120937448223,1.88739599266872,0.319989086426929,5.89831363858004,3.67235426861887e-09,3.30560839948082e-06,"FDR < 0.005"
"Glyma.19G053500",1123.22812674889,1.88665573277536,0.309461244234435,6.09658161700568,1.08360635905972e-09,1.18731386177679e-06,"FDR < 0.005"
"Glyma.06G235100",32.7610489683877,-1.87428706168461,0.446012574103003,-4.20231888182542,2.64194611343842e-05,0.00286113547994287,"FDR < 0.005"
"Glyma.18G207100",55.480919468003,1.84249240242226,0.375382819046874,4.90830242870596,9.18681130689499e-07,0.000241017935512018,"FDR < 0.005"
"Glyma.16G000100",9.84812826890486,-1.80871705120588,0.424997676030996,-4.2558280979258,2.08276689371772e-05,0.00240967074094906,"FDR < 0.005"
"Glyma.05G212700",78.4853860296408,1.79566467480092,0.445657574488498,4.02924751556592,5.59556784369187e-05,0.00487049730020787,"FDR < 0.005"
"Glyma.01G210100",95.2587524261242,1.79009551084701,0.338956846911927,5.28119000148753,1.28347501675692e-07,5.03311350255392e-05,"FDR < 0.005"
"Glyma.19G170200",24.606480505019,-1.74209326626396,0.364994531802581,-4.77292976872931,1.81565119275194e-06,0.000388053181399119,"FDR < 0.005"
"Glyma.10G012700",1085.5030984049,1.7165200560115,0.312592074883294,5.49124624049525,3.99107448102944e-08,2.12404983880387e-05,"FDR < 0.005"
"Glyma.11G020300",427.310555579052,1.70466809271023,0.230054029949543,7.40985973201213,1.26433070774865e-13,3.62318278357448e-10,"FDR < 0.005"
"Glyma.03G101000",131.744385633315,1.7031960920995,0.387035098684745,4.40062438235562,1.0793983285499e-05,0.00149217131834651,"FDR < 0.005"
"Glyma.18G183100",15.6785326168676,-1.69938539135365,0.406435576287994,-4.18119251979431,2.89984200147964e-05,0.00306905437281598,"FDR < 0.005"
"Glyma.01G044500",21.2313243416862,-1.684576680465,0.375692704191741,-4.48392173089751,7.32835517468387e-06,0.00109204217471069,"FDR < 0.005"
"Glyma.06G158000",926.09596304981,1.68179121826925,0.409014001362493,4.11181820834233,3.9255535212774e-05,0.00386428694448819,"FDR < 0.005"
"Glyma.01G244800",36.697174893764,-1.68005244776,0.391738530750591,-4.28870870715969,1.79714880517811e-05,0.00218060909466434,"FDR < 0.005"
"Glyma.16G001600",21.676549084607,-1.67489256163067,0.388397388025204,-4.31231674895296,1.61552766370456e-05,0.00202642651796801,"FDR < 0.005"
"Glyma.17G092800",72.3881481612997,-1.67401661997449,0.406401897108517,-4.1191161554236,3.80328403613813e-05,0.00380783015611663,"FDR < 0.005"
"Glyma.07G027000",49.3741307743164,1.66456085535425,0.350172079766958,4.75355104399536,1.99874612212515e-06,0.000409127956228848,"FDR < 0.005"
"Glyma.13G157000",126.106855571816,1.66125094711829,0.343950945897349,4.8299066100376,1.36597102401722e-06,0.000320594517086563,"FDR < 0.005"
